customer_id,segment_name,recency_days,frequency,monetary,avg_discount_pct,full_price_rate,return_rate,category_diversity,ticket_count_90d,negative_ticket_rate_90d,sessions_30d,abandoned_carts_30d,last_visit_days_ago,last_campaign_cost,manual_priority_bucket,churn_next_60d
CUST00272,Champions,12,13,13721.27,0.22307692307692306,0.0,0.0,4,0.0,0.0,7,0,1,12,low,0
CUST00817,Champions,9,14,11008.85,0.32642857142857146,0.0,0.0,5,0.0,0.0,13,1,0,12,low,0
CUST01242,Champions,29,9,10650.67,0.2677777777777778,0.0,0.1111111111111111,6,1.0,0.0,0,0,15,12,medium,0
CUST01584,Champions,0,5,10650.07,0.29000000000000004,0.0,0.0,4,0.0,0.0,6,0,0,0,low,0
CUST00315,Champions,17,10,10137.960000000001,0.337,0.0,0.0,5,0.0,0.0,11,1,0,12,low,0
CUST00813,Champions,5,9,9628.83,0.18666666666666668,0.0,0.0,3,1.0,1.0,11,1,1,25,medium,0
CUST00800,Champions,12,10,9558.37,0.18,0.0,0.2,5,0.0,0.0,7,2,0,18,low,0
CUST00881,Champions,4,8,9492.15,0.21375,0.0,0.0,4,0.0,0.0,6,0,9,40,low,0
CUST00460,Champions,19,11,9241.95,0.2690909090909091,0.09090909090909091,0.09090909090909091,6,1.0,1.0,8,0,14,40,medium,0
CUST00713,Champions,3,9,9076.15,0.3022222222222222,0.0,0.1111111111111111,5,2.0,1.0,10,1,0,18,medium,0
CUST01581,Champions,22,11,8927.9,0.24181818181818182,0.0,0.09090909090909091,4,1.0,1.0,6,1,5,0,medium,0
CUST02331,Champions,11,8,8892.78,0.27125,0.125,0.125,4,0.0,0.0,7,2,0,25,low,0
CUST00197,Champions,15,9,8552.59,0.30444444444444446,0.0,0.0,6,1.0,1.0,11,0,10,12,medium,0
CUST01439,Champions,0,8,8418.470000000001,0.21,0.0,0.0,4,1.0,1.0,7,1,0,18,medium,0
CUST01030,Champions,32,11,8329.47,0.2381818181818182,0.0,0.0,6,0.0,0.0,10,0,0,18,low,0
CUST00506,Champions,38,9,8243.95,0.26,0.0,0.0,5,0.0,0.0,0,0,15,25,medium,0
